25,50,100,200,400,800,1600,3200,na
557491,1212121,1688654,1749231,2345799,2167883,2326116,1672632,
1176470,1223709,1801548,2194128,1570311,2464204,1851556,2016740,
613026,1180811,1399671,1690047,2075815,2373873,2354158,2353182,
1073825,1223709,1345244,1637875,2108622,2009665,2463351,1892192,
627450,903954,1508544,1524263,1487183,1554016,1757242,2301162,
1259842,1092150,1723905,1279040,2276187,2099812,1656452,1943079,
606060,1144901,1760660,1979508,2316480,2404567,2450493,2403075,
1038961,1111111,1711229,1367338,1605141,2432737,1896752,2118705,
730593,1068447,1828571,1431367,2063891,2361827,2214092,1544247,
640000,1180811,1355932,1409885,2212260,2044958,1696475,2113606,
677966,1035598,1504997,2131113,1975118,2438131,2163246,1876684,
1269841,887656,1725067,1479341,2438095,2528199,2254218,2430016,
613026,1017488,1704394,2126245,1537768,2397073,2459949,2348645,
842105,1155234,1532934,2043096,2194481,2154542,2452951,2421694,
583941,844327,1307456,2203098,2420374,2347748,2005778,1421456,
658436,718294,1629535,1442659,1844214,1708375,2353661,1613239,
608365,1070234,1482339,1498609,2296092,2296961,2157279,1888210,
1280000,1214421,1746248,2173174,2225361,2121785,2039269,2091772,
930232,876712,1393576,2215491,1996685,2350645,2399401,1811265,
924855,1216730,1361702,2184300,1646765,2364554,2269016,1529710,
610687,1128747,1917602,2203572,2379182,2443112,2447839,2435706,
613026,1191806,1642078,2215011,2377662,2333105,1794991,1898727,
879120,914285,1350923,1935361,2288012,2018106,2059722,2167721,
930232,1187384,1688654,1588089,2461538,2379389,2195775,2281590,
557491,931586,1310803,1605015,1642341,2400269,2235350,2248847,
1269841,1054365,1646302,2040247,1593464,2124481,2330560,1746075,
608365,1207547,1785216,1663147,2321863,2139881,2246014,1944316,
663900,1161524,1725067,1592039,2478218,2288843,1957626,2294255,
851063,1136767,1325051,1560737,2242908,2316840,2078035,2381480,
569395,1182994,1712374,2137340,2297509,2450970,2358699,2221416,
816326,955223,1690885,1411051,1621279,2217020,1704766,1951082,
1126760,1068447,1761871,2292366,1829633,1532546,1379107,2126483,
808080,1044045,1741496,2242172,2232639,2336632,1596745,1857828,
1126760,1205273,1654815,2213097,2303841,1761985,2257386,1824552,
